1D	photolysis rate of ozone to 1D oxygen atom
of	mass content of water in atmosphere layer
of	mass content of water in soil
of	mass content of water in soil layer
of	mass content of water vapor in atmosphere layer
of	mass fraction of acetic acid in air
of	mass fraction of aceto nitrile in air
of	mass fraction of alkanes in air
of	mass fraction of alkenes in air
of	mass fraction of alpha hexachlorocyclohexane in air
of	mass fraction of alpha pinene in air
of	mass fraction of ammonia in air
of	mass fraction of ammonium dry aerosol particles in air
of	mass fraction of anthropogenic nmvoc expressed as carbon in air
of	mass fraction of aromatic compounds in air
of	mass fraction of atomic bromine in air
of	mass fraction of atomic chlorine in air
of	mass fraction of atomic nitrogen in air
of	mass fraction of benzene in air
of	mass fraction of beta pinene in air
of	mass fraction of biogenic nmvoc expressed as carbon in air
of	mass fraction of bromine chloride in air
of	mass fraction of bromine monoxide in air
of	mass fraction of bromine nitrate in air
of	mass fraction of brox expressed as bromine in air
of	mass fraction of butane in air
of	mass fraction of carbon dioxide in air
of	mass fraction of carbon monoxide in air
of	mass fraction of carbon tetrachloride in air
of	mass fraction of cfc11 in air
of	mass fraction of cfc113 in air
of	mass fraction of cfc113a in air
of	mass fraction of cfc114 in air
of	mass fraction of cfc115 in air
of	mass fraction of cfc12 in air
of	mass fraction of chlorine dioxide in air
of	mass fraction of chlorine monoxide in air
of	mass fraction of chlorine nitrate in air
of	mass fraction of chlorophyll a in sea water
of	mass fraction of cloud condensed water in air
of	mass fraction of cloud ice in air
of	mass fraction of cloud liquid water in air
of	mass fraction of clox expressed as chlorine in air
of	mass fraction of convective cloud condensed water in air
of	mass fraction of convective cloud ice in air
of	mass fraction of convective cloud liquid water in air
of	mass fraction of dichlorine peroxide in air
of	mass fraction of dimethyl sulfide in air
of	mass fraction of dinitrogen pentoxide in air
of	mass fraction of dust dry aerosol particles in air
of	mass fraction of elemental carbon dry aerosol particles in air
of	mass fraction of ethane in air
of	mass fraction of ethanol in air
of	mass fraction of ethene in air
of	mass fraction of ethyne in air
of	mass fraction of formaldehyde in air
of	mass fraction of formic acid in air
of	mass fraction of frozen water in soil moisture
of	mass fraction of gaseous divalent mercury in air
of	mass fraction of gaseous elemental mercury in air
of	mass fraction of graupel in air
of	mass fraction of halon1202 in air
of	mass fraction of halon1211 in air
of	mass fraction of halon1301 in air
of	mass fraction of halon2402 in air
of	mass fraction of hcc140a in air
of	mass fraction of hcfc141b in air
of	mass fraction of hcfc142b in air
of	mass fraction of hcfc22 in air
of	mass fraction of hexachlorobiphenyl in air
of	mass fraction of hox expressed as hydrogen in air
of	mass fraction of hydrogen bromide in air
of	mass fraction of hydrogen chloride in air
of	mass fraction of hydrogen cyanide in air
of	mass fraction of hydrogen peroxide in air
of	mass fraction of hydroperoxyl radical in air
of	mass fraction of hydroxyl radical in air
of	mass fraction of hypobromous acid in air
of	mass fraction of hypochlorous acid in air
of	mass fraction of inorganic bromine in air
of	mass fraction of inorganic chlorine in air
of	mass fraction of isoprene in air
of	mass fraction of limonene in air
of	mass fraction of mercury dry aerosol in air
of	mass fraction of methane in air
of	mass fraction of methanesulfonic acid dry aerosol particles in air
of	mass fraction of methanol in air
of	mass fraction of methyl bromide in air
of	mass fraction of methyl chloride in air
of	mass fraction of methyl hydroperoxide in air
of	mass fraction of methyl peroxy radical in air
of	mass fraction of molecular hydrogen in air
of	mass fraction of nitrate dry aerosol particles in air
of	mass fraction of nitrate radical in air
of	mass fraction of nitric acid in air
of	mass fraction of nitric acid trihydrate ambient aerosol particles in air
of	mass fraction of nitrogen dioxide in air
of	mass fraction of nitrogen monoxide in air
of	mass fraction of nitrous acid in air
of	mass fraction of nitrous oxide in air
of	mass fraction of nmvoc expressed as carbon in air
of	mass fraction of nox expressed as nitrogen in air
of	mass fraction of noy expressed as nitrogen in air
of	mass fraction of oxygenated hydrocarbons in air
of	mass fraction of ozone in air
of	mass fraction of particulate organic matter dry aerosol particles expressed as carbon in air
of	mass fraction of particulate organic matter dry aerosol particles in air
of	mass fraction of peroxy radicals in air
of	mass fraction of peroxyacetyl nitrate in air
of	mass fraction of peroxynitric acid in air
of	mass fraction of pm1 ambient aerosol particles in air
of	mass fraction of pm1 dry aerosol particles in air
of	mass fraction of pm10 ambient aerosol particles in air
of	mass fraction of pm10 ammonium dry aerosol particles in air
of	mass fraction of pm10 dry aerosol particles in air
of	mass fraction of pm10 dust dry aerosol particles in air
of	mass fraction of pm10 elemental carbon dry aerosol particles in air
of	mass fraction of pm10 nitrate dry aerosol particles in air
of	mass fraction of pm10 particulate organic matter dry aerosol particles expressed as carbon in air
of	mass fraction of pm10 particulate organic matter dry aerosol particles in air
of	mass fraction of pm10 primary particulate organic matter dry aerosol particles in air
of	mass fraction of pm10 sea salt dry aerosol particles expressed as cations in air
of	mass fraction of pm10 sea salt dry aerosol particles in air
of	mass fraction of pm10 sulfate dry aerosol particles in air
of	mass fraction of pm2p5 ambient aerosol particles in air
of	mass fraction of pm2p5 ammonium dry aerosol particles in air
of	mass fraction of pm2p5 dry aerosol particles in air
of	mass fraction of pm2p5 dust dry aerosol particles in air
of	mass fraction of pm2p5 elemental carbon dry aerosol particles in air
of	mass fraction of pm2p5 nitrate dry aerosol particles in air
of	mass fraction of pm2p5 particulate organic matter dry aerosol particles expressed as carbon in air
of	mass fraction of pm2p5 particulate organic matter dry aerosol particles in air
of	mass fraction of pm2p5 primary particulate organic matter dry aerosol particles in air
of	mass fraction of pm2p5 sea salt dry aerosol particles expressed as cations in air
of	mass fraction of pm2p5 sea salt dry aerosol particles in air
of	mass fraction of pm2p5 sulfate dry aerosol particles in air
of	mass fraction of precipitation in air
of	mass fraction of primary particulate organic matter dry aerosol particles in air
of	mass fraction of propane in air
of	mass fraction of propene in air
of	mass fraction of radon in air
of	mass fraction of rain in air
of	mass fraction of sea salt dry aerosol particles expressed as cations in air
of	mass fraction of sea salt dry aerosol particles in air
of	mass fraction of secondary particulate organic matter dry aerosol particles in air
of	mass fraction of snow in air
of	mass fraction of stratiform cloud ice in air
of	mass fraction of stratiform cloud liquid water in air
of	mass fraction of sulfate dry aerosol particles in air
of	mass fraction of sulfur dioxide in air
of	mass fraction of sulfuric acid in air
of	mass fraction of terpenes in air
of	mass fraction of toluene in air
of	mass fraction of unfrozen water in soil moisture
of	mass fraction of water in air
of	mass fraction of water in ambient aerosol particles in air
of	mass fraction of water in pm10 ambient aerosol particles in air
of	mass fraction of water in pm2p5 ambient aerosol particles in air
of	mass fraction of xylene in air
of	minimum depth of aragonite undersaturation in sea water
of	minimum depth of calcite undersaturation in sea water
of	model level number at base of ocean mixed layer defined by sigma theta
of	model level number at top of atmosphere boundary layer
of	moisture content of soil layer at field capacity
of	mole concentration of acetic acid in air
of	mole concentration of aceto nitrile in air
of	mole concentration of alpha hexachlorocyclohexane in air
of	mole concentration of alpha pinene in air
of	mole concentration of ammonia in air
of	mole concentration of ammonium in sea water
of	mole concentration of anthropogenic nmvoc expressed as carbon in air
of	mole concentration of aragonite expressed as carbon in sea water
of	mole concentration of aragonite expressed as carbon in sea water at saturation
of	mole concentration of atomic bromine in air
of	mole concentration of atomic chlorine in air
of	mole concentration of atomic nitrogen in air
of	mole concentration of bacteria expressed as carbon in sea water
of	mole concentration of benzene in air
of	mole concentration of beta pinene in air
of	mole concentration of biogenic nmvoc expressed as carbon in air
of	mole concentration of bromine chloride in air
of	mole concentration of bromine monoxide in air
of	mole concentration of bromine nitrate in air
of	mole concentration of brox expressed as bromine in air
of	mole concentration of butane in air
of	mole concentration of calcareous phytoplankton expressed as carbon in sea water
of	mole concentration of calcite expressed as carbon in sea water
of	mole concentration of calcite expressed as carbon in sea water at saturation
of	mole concentration of carbon dioxide in air
of	mole concentration of carbon monoxide in air
of	mole concentration of carbon tetrachloride in air
of	mole concentration of carbonate abiotic analogue expressed as carbon in sea water
of	mole concentration of carbonate expressed as carbon at equilibrium with pure aragonite in sea water
of	mole concentration of carbonate expressed as carbon at equilibrium with pure calcite in sea water
of	mole concentration of carbonate expressed as carbon in sea water
of	mole concentration of carbonate natural analogue expressed as carbon in sea water
of	mole concentration of cfc11 in air
of	mole concentration of cfc11 in sea water
of	mole concentration of cfc113 in air
of	mole concentration of cfc113a in air
of	mole concentration of cfc114 in air
of	mole concentration of cfc115 in air
of	mole concentration of cfc12 in air
of	mole concentration of cfc12 in sea water
of	mole concentration of chlorine dioxide in air
of	mole concentration of chlorine monoxide in air
of	mole concentration of chlorine nitrate in air
of	mole concentration of clox expressed as chlorine in air
of	mole concentration of diatoms expressed as carbon in sea water
of	mole concentration of diatoms expressed as nitrogen in sea water
of	mole concentration of diazotrophs expressed as carbon in sea water
of	mole concentration of dichlorine peroxide in air
of	mole concentration of dimethyl sulfide in air
of	mole concentration of dimethyl sulfide in sea water
of	mole concentration of dinitrogen pentoxide in air
of	mole concentration of dissolved inorganic carbon abiotic analogue in sea water
of	mole concentration of dissolved inorganic carbon in sea water
of	mole concentration of dissolved inorganic carbon natural analogue in sea water
of	mole concentration of dissolved inorganic carbon13 in sea water
of	mole concentration of dissolved inorganic carbon14 in sea water
of	mole concentration of dissolved inorganic phosphorus in sea water
of	mole concentration of dissolved inorganic silicon in sea water
of	mole concentration of dissolved iron in sea water
of	mole concentration of dissolved molecular oxygen in sea water
of	mole concentration of dissolved molecular oxygen in sea water at saturation
of	mole concentration of dissolved molecular oxygen in sea water at shallowest local minimum in vertical profile
of	mole concentration of dissolved organic carbon in sea water
of	mole concentration of ethane in air
of	mole concentration of ethanol in air
of	mole concentration of ethene in air
of	mole concentration of ethyne in air
of	mole concentration of formaldehyde in air
of	mole concentration of formic acid in air
of	mole concentration of gaseous divalent mercury in air
of	mole concentration of gaseous elemental mercury in air
of	mole concentration of halon1202 in air
of	mole concentration of halon1211 in air
of	mole concentration of halon1301 in air
of	mole concentration of halon2402 in air
of	mole concentration of hcc140a in air
of	mole concentration of hcfc141b in air
of	mole concentration of hcfc142b in air
of	mole concentration of hcfc22 in air
of	mole concentration of hexachlorobiphenyl in air
of	mole concentration of hox expressed as hydrogen in air
of	mole concentration of hydrogen bromide in air
of	mole concentration of hydrogen chloride in air
of	mole concentration of hydrogen cyanide in air
of	mole concentration of hydrogen peroxide in air
of	mole concentration of hydroperoxyl radical in air
of	mole concentration of hydroxyl radical in air
of	mole concentration of hypobromous acid in air
of	mole concentration of hypochlorous acid in air
of	mole concentration of inorganic bromine in air
of	mole concentration of inorganic chlorine in air
of	mole concentration of isoprene in air
of	mole concentration of limonene in air
of	mole concentration of mesozooplankton expressed as carbon in sea water
of	mole concentration of mesozooplankton expressed as nitrogen in sea water
of	mole concentration of methane in air
of	mole concentration of methanol in air
of	mole concentration of methyl bromide in air
of	mole concentration of methyl chloride in air
of	mole concentration of methyl hydroperoxide in air
of	mole concentration of methyl peroxy radical in air
of	mole concentration of microzooplankton expressed as carbon in sea water
of	mole concentration of microzooplankton expressed as nitrogen in sea water
of	mole concentration of miscellaneous phytoplankton expressed as carbon in sea water
of	mole concentration of miscellaneous zooplankton expressed as carbon in sea water
of	mole concentration of molecular hydrogen in air
of	mole concentration of nitrate and nitrite in sea water
of	mole concentration of nitrate in sea water
of	mole concentration of nitrate radical in air
of	mole concentration of nitric acid in air
of	mole concentration of nitric acid trihydrate ambient aerosol particles in air
of	mole concentration of nitrite in sea water
of	mole concentration of nitrogen dioxide in air
of	mole concentration of nitrogen monoxide in air
of	mole concentration of nitrous acid in air
of	mole concentration of nitrous oxide in air
of	mole concentration of nmvoc expressed as carbon in air
of	mole concentration of nox expressed as nitrogen in air
of	mole concentration of noy expressed as nitrogen in air
of	mole concentration of organic detritus expressed as carbon in sea water
of	mole concentration of organic detritus expressed as nitrogen in sea water
of	mole concentration of organic detritus expressed as silicon in sea water
of	mole concentration of ozone in air
of	mole concentration of particulate matter expressed as silicon in sea water
of	mole concentration of particulate organic matter expressed as iron in sea water
of	mole concentration of particulate organic matter expressed as nitrogen in sea water
of	mole concentration of particulate organic matter expressed as phosphorus in sea water
of	mole concentration of particulate organic matter expressed as silicon in sea water
of	mole concentration of peroxyacetyl nitrate in air
of	mole concentration of peroxynitric acid in air
of	mole concentration of phosphate in sea water
of	mole concentration of phytoplankton expressed as carbon in sea water
of	mole concentration of phytoplankton expressed as iron in sea water
of	mole concentration of phytoplankton expressed as nitrogen in sea water
of	mole concentration of phytoplankton expressed as phosphorus in sea water
of	mole concentration of phytoplankton expressed as silicon in sea water
of	mole concentration of picophytoplankton expressed as carbon in sea water
of	mole concentration of propane in air
of	mole concentration of propene in air
of	mole concentration of radon in air
of	mole concentration of silicate in sea water
of	mole concentration of sulfur dioxide in air
of	mole concentration of sulfur hexafluoride in sea water
of	mole concentration of toluene in air
of	mole concentration of water vapor in air
of	mole concentration of xylene in air
of	mole concentration of zooplankton expressed as carbon in sea water
of	mole concentration of zooplankton expressed as nitrogen in sea water
of	mole content of ozone in atmosphere layer
of	mole fraction of acetaldehyde in air
of	mole fraction of acetic acid in air
of	mole fraction of aceto nitrile in air
of	mole fraction of acetone in air
of	mole fraction of aldehydes in air
of	mole fraction of alkanes in air
of	mole fraction of alkenes in air
of	mole fraction of alpha hexachlorocyclohexane in air
of	mole fraction of alpha pinene in air
of	mole fraction of ammonia in air
of	mole fraction of anthropogenic nmvoc expressed as carbon in air
of	mole fraction of artificial tracer with fixed lifetime in air
of	mole fraction of atomic bromine in air
of	mole fraction of atomic chlorine in air
of	mole fraction of atomic nitrogen in air
of	mole fraction of benzene in air
of	mole fraction of beta pinene in air
of	mole fraction of biogenic nmvoc expressed as carbon in air
of	mole fraction of bromine chloride in air
of	mole fraction of bromine monoxide in air
of	mole fraction of bromine nitrate in air
of	mole fraction of brox expressed as bromine in air
of	mole fraction of butane in air
of	mole fraction of carbon dioxide in air
of	mole fraction of carbon monoxide in air
of	mole fraction of carbon tetrachloride in air
of	mole fraction of carbon tetrafluoride in air
of	mole fraction of carbonyl fluoride in air
of	mole fraction of carbonyl sulfide in air
of	mole fraction of cfc11 in air
of	mole fraction of cfc113 in air
of	mole fraction of cfc113a in air
of	mole fraction of cfc114 in air
of	mole fraction of cfc115 in air
of	mole fraction of cfc12 in air
of	mole fraction of chlorine dioxide in air
of	mole fraction of chlorine monoxide in air
of	mole fraction of chlorine nitrate in air
of	mole fraction of clox expressed as chlorine in air
of	mole fraction of dichlorine in air
of	mole fraction of dichlorine peroxide in air
of	mole fraction of dimethyl sulfide in air
of	mole fraction of dinitrogen pentoxide in air
of	mole fraction of ethane in air
of	mole fraction of ethanol in air
of	mole fraction of ethene in air
of	mole fraction of ethyne in air
of	mole fraction of formaldehyde in air
of	mole fraction of formic acid in air
of	mole fraction of gaseous divalent mercury in air
of	mole fraction of gaseous elemental mercury in air
of	mole fraction of glyoxal in air
of	mole fraction of halon1202 in air
of	mole fraction of halon1211 in air
of	mole fraction of halon1301 in air
of	mole fraction of halon2402 in air
of	mole fraction of hcc140a in air
of	mole fraction of hcfc141b in air
of	mole fraction of hcfc142b in air
of	mole fraction of hcfc22 in air
of	mole fraction of hexachlorobiphenyl in air
of	mole fraction of hox expressed as hydrogen in air
of	mole fraction of hydrogen bromide in air
of	mole fraction of hydrogen chloride in air
of	mole fraction of hydrogen cyanide in air
of	mole fraction of hydrogen peroxide in air
of	mole fraction of hydrogen sulfide in air
of	mole fraction of hydroperoxyl radical in air
of	mole fraction of hydroxyl radical in air
of	mole fraction of hypobromous acid in air
of	mole fraction of hypochlorous acid in air
of	mole fraction of inorganic bromine in air
of	mole fraction of inorganic chlorine in air
of	mole fraction of isoprene in air
of	mole fraction of limonene in air
of	mole fraction of methane in air
of	mole fraction of methanol in air
of	mole fraction of methlyglyoxal in air
of	mole fraction of methyl bromide in air
of	mole fraction of methyl chloride in air
of	mole fraction of methyl hydroperoxide in air
of	mole fraction of methyl peroxy radical in air
of	mole fraction of molecular hydrogen in air
of	mole fraction of nitrate radical in air
of	mole fraction of nitric acid in air
of	mole fraction of nitric acid trihydrate ambient aerosol particles in air
of	mole fraction of nitrogen dioxide in air
of	mole fraction of nitrogen monoxide in air
of	mole fraction of nitrous acid in air
of	mole fraction of nitrous oxide in air
of	mole fraction of nmvoc expressed as carbon in air
of	mole fraction of nox expressed as nitrogen in air
of	mole fraction of noy expressed as nitrogen in air
of	mole fraction of organic nitrates in air
of	mole fraction of ozone in air
of	mole fraction of peroxyacetyl nitrate in air
of	mole fraction of peroxynitric acid in air
of	mole fraction of propane in air
of	mole fraction of propene in air
of	mole fraction of radon in air
of	mole fraction of sulfur dioxide in air
of	mole fraction of sulfur hexafluoride in air
of	mole fraction of toluene in air
of	mole fraction of water vapor in air
of	mole fraction of xylene in air
of	mole ratio of nitrate to phosphate in sea water
of	moles of cfc11 per unit mass in sea water
of	moles of nitrate and nitrite per unit mass in sea water
of	moles of nitrate per unit mass in sea water
of	moles of nitrite per unit mass in sea water
of	moles of oxygen per unit mass in sea water
of	moles of phosphate per unit mass in sea water
of	moles of silicate per unit mass in sea water
of	net downward radiative flux at top of atmosphere model
of	net primary mole productivity of biomass expressed as carbon by calcareous phytoplankton
of	net primary mole productivity of biomass expressed as carbon by diatoms
of	net primary mole productivity of biomass expressed as carbon by diazotrophs
of	net primary mole productivity of biomass expressed as carbon by miscellaneous phytoplankton
of	net primary mole productivity of biomass expressed as carbon by phytoplankton
of	net primary mole productivity of biomass expressed as carbon by picophytoplankton
of	net primary mole productivity of biomass expressed as carbon due to nitrate utilization
of	net primary production of biomass expressed as carbon per unit volume in sea water
of	net primary productivity of biomass expressed as carbon
of	net primary productivity of biomass expressed as carbon accumulated in leaves
of	net primary productivity of biomass expressed as carbon accumulated in roots
of	net primary productivity of biomass expressed as carbon accumulated in wood
of	net rate of absorption of longwave energy in atmosphere layer
of	net rate of absorption of shortwave energy in atmosphere layer
of	net rate of absorption of shortwave energy in ocean layer
of	nitrogen growth limitation of calcareous phytoplankton
of	nitrogen growth limitation of diatoms
of	nitrogen growth limitation of diazotrophs
of	nitrogen growth limitation of miscellaneous phytoplankton
of	nitrogen growth limitation of picophytoplankton
of	northward derivative of eastward sea ice velocity
of	northward mass flux of air
of	northward northward derivative of geopotential
of	northward upward derivative of geopotential
of	northward westward derivative of geopotential
of	number concentration of aerosol particles at stp in air
of	number concentration of ambient aerosol particles in air
of	number concentration of cloud condensation nuclei at stp in air
of	number concentration of cloud liquid water particles in air
of	number concentration of cloud liquid water particles in air at liquid water cloud top
of	number concentration of coarse mode ambient aerosol particles in air
of	number concentration of ice crystals in air
of	number concentration of ice crystals in air at ice cloud top
of	number concentration of nucleation mode ambient aerosol particles in air
of	number concentration of ozone molecules in air
of	number concentration of pm10 aerosol particles in air
of	number concentration of pm2p5 aerosol particles in air
of	number of days with air temperature above threshold
of	number of days with air temperature below threshold
of	number of days with lwe thickness of precipitation amount above threshold
of	number of days with surface temperature below threshold
of	number of days with wind speed above threshold
of	number of icebergs per unit area
of	number of observations
of	ocean integral wrt depth of sea water temperature
of	ocean mass content of dissolved inorganic carbon
of	ocean mass content of dissolved organic carbon
of	ocean mass content of particulate organic matter expressed as carbon
of	optical thickness of atmosphere layer due to ambient aerosol particles
of	original air pressure of lifted parcel
of	partial pressure of carbon dioxide in sea water
of	partial pressure of methane in sea water
of	phase of global average sea level change
of	photolysis rate of nitrogen dioxide
of	photolysis rate of ozone to 1D oxygen atom
of	potential energy content of atmosphere layer
of	potential vorticity of atmosphere layer
of	potential vorticity of ocean layer
of	product of air temperature and omega
of	product of air temperature and specific humidity
of	product of eastward sea water velocity and salinity
of	product of eastward sea water velocity and temperature
of	product of eastward wind and air temperature
of	product of eastward wind and geopotential height
of	product of eastward wind and northward wind
of	product of eastward wind and omega
of	product of eastward wind and specific humidity
of	product of eastward wind and upward air velocity
of	product of geopotential height and omega
of	product of northward sea water velocity and salinity
of	product of northward sea water velocity and temperature
of	product of northward wind and air temperature
of	product of northward wind and geopotential height
of	product of northward wind and omega
of	product of northward wind and specific humidity
of	product of northward wind and upward air velocity
of	product of omega and air temperature
of	product of omega and specific humidity
of	product of specific humidity and omega
of	product of upward air velocity and air temperature
of	product of upward air velocity and specific humidity
of	radial velocity of scatterers away from instrument
of	radius of tropical cyclone central dense overcast region
of	radius of tropical cyclone eye
of	radius of tropical cyclone maximum sustained wind speed
of	rate of hydroxyl radical destruction due to reaction with nmvoc
of	ratio of sea water potential temperature anomaly to relaxation timescale
of	ratio of sea water practical salinity anomaly to relaxation timescale
of	ratio of x derivative of ocean rigid lid pressure to sea surface density
of	ratio of y derivative of ocean rigid lid pressure to sea surface density
of	scene type of dvorak tropical cyclone cloud region
of	scene type of dvorak tropical cyclone eye region
of	sea surface wave mean height of highest tenth
of	sea surface wave mean period of highest tenth
of	sea surface wave period of highest wave
of	secchi depth of sea water
of	sinking mole flux of aragonite expressed as carbon in sea water
of	sinking mole flux of calcite expressed as carbon in sea water
of	sinking mole flux of particulate iron in sea water
of	sinking mole flux of particulate organic matter expressed as carbon in sea water
of	sinking mole flux of particulate organic nitrogen in sea water
of	sinking mole flux of particulate organic phosphorus in sea water
of	sinking mole flux of particulate silicon in sea water
of	soot content of surface snow
of	specific dry energy of air
of	specific heat capacity of sea water
of	specific kinetic energy of air
of	specific kinetic energy of sea water
of	specific turbulent kinetic energy of sea water
of	speed of sound in air
of	speed of sound in sea water
of	spell length of days with air temperature above threshold
of	spell length of days with air temperature below threshold
of	spell length of days with lwe thickness of precipitation amount above threshold
of	spell length of days with lwe thickness of precipitation amount below threshold
of	square of air temperature
of	square of brunt vaisala frequency in air
of	square of brunt vaisala frequency in sea water
of	square of eastward wind
of	square of geopotential height
of	square of lagrangian tendency of air pressure
of	square of northward wind
of	square of ocean mixed layer thickness defined by sigma t
of	square of sea surface height above geoid
of	square of sea surface temperature
of	square of upward air velocity
of	square of upward ocean mass transport
of	stratosphere mole content of nitrogen dioxide
of	surface backwards scattering coefficient of radar wave
of	surface downward mass flux of ammonia
of	surface downward mass flux of carbon dioxide abiotic analogue expressed as carbon
of	surface downward mass flux of carbon dioxide expressed as carbon
of	surface downward mass flux of carbon dioxide natural analogue expressed as carbon
of	surface downward mass flux of carbon13 dioxide abiotic analogue expressed as carbon13
of	surface downward mass flux of carbon14 dioxide abiotic analogue expressed as carbon
of	surface downward mass flux of water due to irrigation
of	surface downward mole flux of carbon dioxide
of	surface downward mole flux of cfc11
of	surface downward mole flux of cfc12
of	surface downward mole flux of molecular oxygen
of	surface downward mole flux of sulfur hexafluoride
of	surface net downward mass flux of ammonia due to bidirectional surface exchange
of	surface net downward mass flux of carbon dioxide expressed as carbon due to all land processes
of	surface net downward mass flux of carbon dioxide expressed as carbon due to all land processes excluding anthropogenic land use change
of	surface net upward mass flux of carbon dioxide expressed as carbon due to emission from anthropogenic land use change
of	surface partial pressure of carbon dioxide abiotic analogue in sea water
of	surface partial pressure of carbon dioxide in air
of	surface partial pressure of carbon dioxide in sea water
of	surface partial pressure of carbon dioxide natural analogue in sea water
of	surface ratio of upwelling radiance emerging from sea water to downwelling radiative flux in air
of	surface upward mass flux of ammonia
of	surface upward mass flux of carbon dioxide expressed as carbon due to anthropogenic land use or land cover change
of	surface upward mass flux of carbon dioxide expressed as carbon due to emission from crop harvesting
of	surface upward mass flux of carbon dioxide expressed as carbon due to emission from fires excluding anthropogenic land use change
of	surface upward mass flux of carbon dioxide expressed as carbon due to emission from grazing
of	surface upward mass flux of carbon dioxide expressed as carbon due to emission from natural sources
of	surface upward mole flux of carbon dioxide
of	surface upward mole flux of dimethyl sulfide
of	temperature at base of ice sheet model
of	temperature at top of ice sheet model
of	temperature flux due to evaporation expressed as heat flux out of sea water
of	temperature of sensor for oxygen in sea water
of	tendency of air density
of	tendency of air pressure
of	tendency of air temperature
of	tendency of air temperature due to advection
of	tendency of air temperature due to convection
of	tendency of air temperature due to diabatic processes
of	tendency of air temperature due to diffusion
of	tendency of air temperature due to dry convection
of	tendency of air temperature due to longwave heating
of	tendency of air temperature due to longwave heating assuming clear sky
of	tendency of air temperature due to model physics
of	tendency of air temperature due to moist convection
of	tendency of air temperature due to radiative heating
of	tendency of air temperature due to shortwave heating
of	tendency of air temperature due to shortwave heating assuming clear sky
of	tendency of air temperature due to stratiform cloud and precipitation and boundary layer mixing
of	tendency of air temperature due to stratiform precipitation
of	tendency of air temperature due to turbulence
of	tendency of atmosphere dry energy content
of	tendency of atmosphere enthalpy content due to advection
of	tendency of atmosphere kinetic energy content due to advection
of	tendency of atmosphere mass content of acetaldehyde due to dry deposition
of	tendency of atmosphere mass content of acetaldehyde due to emission
of	tendency of atmosphere mass content of acetaldehyde due to wet deposition
of	tendency of atmosphere mass content of acetic acid due to dry deposition
of	tendency of atmosphere mass content of acetic acid due to wet deposition
of	tendency of atmosphere mass content of aceto nitrile due to dry deposition
of	tendency of atmosphere mass content of acetone due to emission
of	tendency of atmosphere mass content of alcohols due to emission from agricultural production
of	tendency of atmosphere mass content of alcohols due to emission from agricultural waste burning
of	tendency of atmosphere mass content of alcohols due to emission from energy production and distribution
of	tendency of atmosphere mass content of alcohols due to emission from forest fires
of	tendency of atmosphere mass content of alcohols due to emission from industrial processes and combustion
of	tendency of atmosphere mass content of alcohols due to emission from residential and commercial combustion
of	tendency of atmosphere mass content of alcohols due to emission from savanna and grassland fires
of	tendency of atmosphere mass content of alcohols due to emission from solvent production and use
of	tendency of atmosphere mass content of alcohols due to emission from waste treatment and disposal
of	tendency of atmosphere mass content of aldehydes due to dry deposition
of	tendency of atmosphere mass content of aldehydes due to wet deposition
of	tendency of atmosphere mass content of alkanes due to emission
of	tendency of atmosphere mass content of alkenes due to emission
of	tendency of atmosphere mass content of alpha hexachlorocyclohexane due to dry deposition
of	tendency of atmosphere mass content of alpha hexachlorocyclohexane due to emission
of	tendency of atmosphere mass content of alpha hexachlorocyclohexane due to re emission
of	tendency of atmosphere mass content of alpha hexachlorocyclohexane due to wet deposition
of	tendency of atmosphere mass content of alpha pinene due to emission
of	tendency of atmosphere mass content of ammonia due to dry deposition
of	tendency of atmosphere mass content of ammonia due to emission
of	tendency of atmosphere mass content of ammonia due to emission from agricultural production
of	tendency of atmosphere mass content of ammonia due to emission from agricultural waste burning
of	tendency of atmosphere mass content of ammonia due to emission from energy production and distribution
of	tendency of atmosphere mass content of ammonia due to emission from forest fires
of	tendency of atmosphere mass content of ammonia due to emission from industrial processes and combustion
of	tendency of atmosphere mass content of ammonia due to emission from land transport
of	tendency of atmosphere mass content of ammonia due to emission from residential and commercial combustion
of	tendency of atmosphere mass content of ammonia due to emission from savanna and grassland fires
of	tendency of atmosphere mass content of ammonia due to wet deposition
of	tendency of atmosphere mass content of ammonium dry aerosol particles due to dry deposition
of	tendency of atmosphere mass content of ammonium dry aerosol particles due to wet deposition
of	tendency of atmosphere mass content of aromatic compounds due to emission
of	tendency of atmosphere mass content of benzene due to emission
of	tendency of atmosphere mass content of benzene due to emission from agricultural production
of	tendency of atmosphere mass content of benzene due to emission from agricultural waste burning
of	tendency of atmosphere mass content of benzene due to emission from energy production and distribution
of	tendency of atmosphere mass content of benzene due to emission from forest fires
of	tendency of atmosphere mass content of benzene due to emission from industrial processes and combustion
of	tendency of atmosphere mass content of benzene due to emission from land transport
of	tendency of atmosphere mass content of benzene due to emission from residential and commercial combustion
of	tendency of atmosphere mass content of benzene due to emission from savanna and grassland fires
of	tendency of atmosphere mass content of benzene due to emission from waste treatment and disposal
of	tendency of atmosphere mass content of beta pinene due to emission
of	tendency of atmosphere mass content of biogenic nmvoc expressed as carbon due to emission
of	tendency of atmosphere mass content of butane due to emission
of	tendency of atmosphere mass content of butane due to emission from agricultural production
of	tendency of atmosphere mass content of butane due to emission from agricultural waste burning
of	tendency of atmosphere mass content of butane due to emission from energy production and distribution
of	tendency of atmosphere mass content of butane due to emission from forest fires
